Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Predators,Average Speed (km/h),Countries Found,Conservation Status,Family,Gestation Period (days),Top Speed (km/h),Social Structure,Offspring per Birth
aardvark,105-130,40-65,grey,20-30,insectivore,"savannas, grasslands","lions, hyenas",40,africa,least concern,orycteropodidae,210-240,40,solitary,1
aardwolf,40-50,8-14,yellow-brown,10-12,insectivore,"grasslands, savannas","lions, leopards",24-30,eastern and southern africa,least concern,hyaenidae,90,40,solitary,2-5
african elephant,270-310,2700-6000,grey,60-70,herbivore,"savannah, forest","lions, hyenas",25,africa,vulnerable,elephantidae,640-660,40,herd-based,1
african lion,80-110,120-250,tan,10-14,carnivore,"grasslands, savannas","hyenas, crocodiles",58,africa,vulnerable,felidae,98-105,80,group-based,2-4 (usually)
african wild dog,75-80,18-36,multicolored,10-12,carnivore,savannahs,"lions, hyenas",56,sub-saharan africa,endangered,canidae,70,56,group-based,10-12
alpine ibex,67-101,19-120,brown,15-20,herbivore,"mountains, alpine","wolves, golden eagles",56-64,european alps,least concern,bovidae,150,56-64,group-based,1
amazon rainforest frog,2-13,up to 0.5,various,4-17,insectivore,amazon rainforest,"birds, snakes",0.1-1,amazon rainforest,not evaluated,dendrobatidae,10-15,0.8,solitary,up to 40
american bison,152-186,"318-1,000",brown,15-20,herbivore,"grasslands, plains","wolves, grizzly bears",40-56,north america,near threatened,bovidae,270-290,56,group-based,1
anteater,52-91,22-41,"brown, white",15-20,insectivore,"grasslands, forests","jaguars, pumas",24,central and south america,least concern,myrmecophagidae,190-210,24,solitary,1
arabian horse,140-160,380-1000,various,25-30,herbivore,"middle east, north africa","humans, predators",65,"middle east, north africa",not applicable,equidae,330-342,65,herd-based,1
arabian oryx,70-90,65-90,white,10-20,herbivore,desert,"lions, leopards",55,middle east,vulnerable,bovidae,210-240,55,herd-based,1
arctic fox,25-30,2.5-9,white,3-6,omnivore,tundra,polar bears,60,arctic regions,least concern,canidae,52-60,60,solitary,4-11
arowana,up to 120,up to 6.7,"silver, gold, green",10-20,"carnivore, piscivore","freshwater rivers, lakes","birds, larger fish",16-32,"south america, asia",not evaluated,osteoglossidae,not applicable,32,solitary,not applicable
asian elephant,200-300,2000-5000,grey,60-80,herbivore,"grasslands, forests","tigers, leopards",40,asia (southeast),endangered,elephantidae,640-660,40,herd-based,1
atlantic puffin,25-30,500-620,"black, white",20-25,"carnivore, piscivore","north atlantic, arctic","gulls, birds of prey",30-50,"north atlantic, arctic",vulnerable,alcidae,40,80,colony-based,1
atlantic spotted dolphin,200-250,120-140,"gray, white",20-25,carnivore,"oceans, coastal areas","sharks, orcas",40-64,worldwide,least concern,delphinidae,360-380,40-64,group-based,1
australian fur seal,112-160,18-40,"brown, gray",14-17,carnivore,coastal waters,"sharks, orcas",24-40,"australia, new zealand",least concern,otariidae,300-350,24-40,group-based,1
axolotl,up to 30,up to 300,various,10-15,carnivore,"lakes, canals","fish, birds",0.8,mexico,critically endangered,ambystomatidae,14-21,0.2-0.3,solitary,100-300
aye-aye,35-37,2.2-2.7,"black, brown",20-23,"omnivore, insectivore",rainforests,birds of prey,32,madagascar,endangered,daubentoniidae,160-170,32,solitary,1
baird's tapir,76-107,150-400,"brown, black",25-30,herbivore,"rainforests, grasslands","jaguars, crocodiles",48,central and south america,endangered,tapiridae,390-395,48,solitary,1
bald eagle,70-102,3-6,"brown, white",20-30,carnivore,"forests, lakes, coasts","wolves, raccoons",120,north america,least concern,accipitridae,34-36,120,solitary,1-3
banded palm civet,41-71,2-5,"brown, black, white",7-10,omnivore,forests,birds of prey,16,"southeast asia, south asia",least concern,viverridae,60-64,16,solitary,2-5
barbary macaque,up to 75,5-13,"brown, gray",up to 30,"herbivore, omnivore","forests, mountains","leopards, eagles",30,"gibraltar, north africa, middle east",endangered,cercopithecidae,165-200,30,group-based,1
basking shark,up to 1100,400-700,"gray, brown",20-25,carnivore,oceans,"orcas, great white sharks",14-28,worldwide,vulnerable,cetorhinidae,36-42 months,14-28,solitary,2-4
bearded dragon,up to 60,up to 600,various,6-15,omnivore,"deserts, woodlands","birds, snakes",40-64,australia,not evaluated,agamidae,40-70,40-64,solitary,up to 24
bengal fox,35-40,2.5-4,yellowish-gray,6-8,omnivore,grasslands,"wolves, birds of prey",40,"india, nepal, bhutan",least concern,canidae,50-60,40,solitary,2-5
bengal tiger,90-110,220-260,"orange, black",10-15,carnivore,"grasslands, mangroves","humans, crocodiles",65,"india, bangladesh, nepal",endangered,felidae,104-106,65,solitary,2-4 (usually)
black rhinoceros,132-180,"800-1,400","gray, black",35-50,herbivore,"grasslands, forests","lions, hyenas",56,eastern and southern africa,critically endangered,rhinocerotidae,450-480,56,solitary,1
blobfish,up to 30,up to 10,pinkish-gray,up to 100,carnivore,deep-sea,not applicable,not applicable,"australia, new zealand, tasmania",vulnerable,psychrolutidae,not applicable,not applicable,solitary,not applicable
blobfish,not applicable,not applicable,pinkish-gray,up to 130,carnivore,deep-sea,not applicable,not applicable,deep-sea regions,vulnerable,psychrolutidae,not applicable,not applicable,solitary,not applicable
blue jay,22-30,0.07-0.12,"blue, white",6-15,omnivore,"forests, urban areas","birds of prey, snakes",32,north america,least concern,corvidae,17-18,32,flocks,2-6
blue morpho butterfly,up to 15,up to 0.028,blue,1-2 weeks,herbivore,rainforests,"birds, bats",not applicable,central and south america,not evaluated,nymphalidae,not applicable,not applicable,solitary,not applicable
blue whale,up to 33.5m,up to 200 tons,blue-grey,70-90,filter feeder,oceans,orcas,40,oceans worldwide,endangered,balaenopteridae,10-12 months,39,solitary,1 (rarely 2)
blue-footed booby,81-85,1.5-3,"blue, white",12-17,piscivore,coastal areas,"orcas, sharks",25-35,eastern pacific (galã¡pagos islands),least concern,sulidae,41-45,25-35,group-based,1
blue-ringed octopus,up to 20,up to 0.3,"blue, brown",6-8 months,carnivore,"coral reefs, tide pools",larger fish,not applicable,indo-pacific region,near threatened,octopodidae,50-70,not applicable,solitary,up to 100
bonobo,up to 150,30-40,black,40-60,omnivore,rainforests,"leopards, humans",40-60,democratic republic of congo,endangered,hominidae,220-230,40-60,social groups,1
bornean orangutan,96-150,30-82,reddish-brown,35-45,omnivore,rainforests,"tigers, humans",40-64,borneo,critically endangered,hominidae,230-270,40-64,solitary,1
bottlenose dolphin,200-400,150-650,grey,20-50,carnivore,oceans,"sharks, orcas",37,oceans worldwide,least concern,delphinidae,12 months,64,social pods,1
boxer dog,53-63,25-32,"fawn, brindle",10-12,omnivore,human dwellings,not applicable,64,worldwide,not applicable,canidae,63,64,social groups,3-8
brazilian wandering spider,up to 5,up to 0.006,brown,1-2,carnivore,forests,"birds, mammals",not applicable,south and central america,not evaluated,ctenidae,21-35,not applicable,solitary,"up to 1,000"
brown bear,70-120,70-780,brown,20-30,omnivore,"forests, mountains","wolves, tigers",48,"north america, europe, asia",least concern,ursidae,180-250,48,solitary,1-4
burmese python,up to 460,up to 90,"brown, black",20-25,carnivore,"grasslands, forests","leopards, hawksbills",1.6-2.4,"southeast asia, south asia, indonesia",least concern,pythonidae,88-100,1.6-2.4,solitary,30-80
capybara,50-62,35-66,brown,8-10,herbivore,"grasslands, swamps","jaguars, anacondas",30-35,south america,least concern,caviidae,150,35,group-based,2-8
cheetah,70-90,20-72,tan with black spots,10-12,carnivore,"grasslands, savannas","lions, hyenas",112,"africa, iran, india",vulnerable,felidae,90-98,112,solitary,3-5
chimpanzee,up to 160,26-70,black,40-50,omnivore,"rainforests, grasslands","leopards, humans",40,central and west africa,endangered,hominidae,230-240,40,social groups,1
chinese giant salamander,up to 180,up to 65,dark brown,up to 70,carnivore,freshwater,"fish, crustaceans",not applicable,china,critically endangered,cryptobranchidae,50-60,not applicable,solitary,not applicable
clownfish,7-10,50-300,orange,6-10,omnivore,coral reefs,"larger fish, anemones",8,"indian, pacific oceans",not evaluated,pomacentridae,6-10,1.6,group-based,"up to 1,000"
coelacanth,up to 200,up to 90,"brown, grey",up to 60,carnivore,"deep-sea, caves","sharks, humans",1.6,western indian ocean,not evaluated,latimeriidae,260-330 million years,not applicable,solitary,not applicable
common dolphin,200-250,100-135,"gray, yellow",20-25,carnivore,"oceans, coastal areas","sharks, orcas",60,worldwide,least concern,delphinidae,360-380,60,group-based,1
common snapping turtle,20-36,4.5-16,"brown, gray",30-50,omnivore,freshwater,"birds, raccoons",not applicable,north america,least concern,chelydridae,40-80,not applicable,solitary,20-30
coquerel's sifaka,40-50,3-6,"white, black",15-18,herbivore,"rainforests, madagascar","fossa, hawks",30-45,madagascar,endangered,indriidae,140-160,30,group-based,1
dalmatian dog,50-61,23-32,"white, black",10-13,omnivore,worldwide,"wolves, birds of prey",40-45,worldwide,not applicable,canidae,63,37,pack-based,6-9
dhole,50-55,12-21,"red, brown",10-15,carnivore,"forests, grasslands","tigers, leopards",56,asia,endangered,canidae,60-63,56,pack-based,4-8
dingo,48-58,13-20,"tan, brown",10-15,carnivore,"grasslands, forests","humans, dingoes",48-64,australia,least concern,canidae,63,48-64,group-based,1-10
dugong,up to 300,up to 420,gray,70-80,herbivore,"coastal waters, seagrass","sharks, orcas",10-15,"indian ocean, western pacific",vulnerable,dugongidae,13-14 months,27,solitary,1
eastern gorilla,140-188,73-204,black,40-50,herbivore,rainforests,"leopards, humans",40,democratic republic of congo,endangered,hominidae,255-270,40,social groups,1
echidna,30-45,2.5-6.5,"brown, tan",15-20,insectivore,"forests, grasslands","dingoes, eagles",16-56,"australia, new guinea",least concern,tachyglossidae,22-28,16-56,solitary,1
electric eel,up to 270,up to 20,grayish-brown,10-15,carnivore,amazon basin,"crocodiles, jaguars",not applicable,amazon basin,least concern,gymnotidae,10 weeks,4.8,solitary,thousands
emperor penguin,100,22-45,"black, white",15-20,carnivore,antarctic,leopard seals,2-2.5,antarctica,near threatened,spheniscidae,62-66,9,colony-based,1
emperor tamarin,23-26,300-400,"black, white",10-15,omnivore,rainforests,"snakes, hawks",32,amazon rainforest,least concern,callitrichidae,140-145,32,group-based,1-2
european hedgehog,14-30,0.6-1.2,"brown, spiny",2-5,omnivore,"gardens, grasslands","foxes, badgers",4-6,"europe, asia",least concern,erinaceidae,35,4-6,solitary,3-7
fennec fox,20-40,0.8-1.6,cream,10-14,omnivore,sahara desert,"eagles, jackals",32,north africa,least concern,canidae,50-52,32,solitary,2-5
fire salamander,15-25,up to 55,"black, yellow",10-15,carnivore,"forests, caves","birds, foxes",0.8,europe,near threatened,salamandridae,30-60,0.8,solitary,10-60
flying fox,up to 40,up to 1.1,"brown, gray",15-23,herbivore,forests,birds of prey,40-50,"asia, australia",least concern,pteropodidae,140-150,40-50,group-based,1
fossa,70-90,5-8,"brown, reddish-brown",15-20,carnivore,"rainforests, madagascar","humans, larger predators",45-48,madagascar,vulnerable,eupleridae,90,45-48,solitary,2-4
frilled lizard,up to 90,up to 0.5,"brown, grey",10-15,"insectivore, herbivore",northern australia,"birds, dingoes",29,northern australia,least concern,agamidae,43-49,29,solitary,6-25
galã¡pagos penguin,49-53,1.5-2.5,"black, white",up to 15,carnivore,coastal areas,"orcas, sharks",24-35,galã¡pagos islands,endangered,spheniscidae,40,24-35,solitary,1
galápagos penguin,48-53,1.7-2.6,"black, white",15-20,"carnivore, piscivore",galápagos islands,"sharks, birds",6-7,galápagos islands,endangered,spheniscidae,38-40,35,colony-based,1
galápagos tortoise,up to 183,up to 417,"brown, grey",100-150,herbivore,galápagos islands,"humans, rats",0.3-0.5,galápagos islands,vulnerable,testudinidae,135,0.3,solitary,up to 16
galliformes,varies,varies,varies,varies,omnivore,varies,varies,varies,worldwide,varies,phasianidae,varies,varies,varies,varies
gaur,180-300,600-1300,"dark brown, black",20-25,herbivore,"grasslands, forests","tigers, leopards",30-40,"southeast asia, south asia",vulnerable,bovidae,275-280,30-40,herd-based,1
gerenuk,80-105,28-52,"brown, white",8-10,herbivore,"savannas, scrublands","lions, leopards",55,"eastern africa, horn of africa",near threatened,bovidae,170-215,95,solitary,1
gharial,up to 600,up to 1500,brownish-gray,40-60,carnivore,"rivers, lakes","crocodiles, tigers",32,indian subcontinent,critically endangered,gavialidae,94-123,32,solitary,20-95
giant pacific octopus,up to 5,up to 25,"red, brown",3-5,carnivore,ocean floor,"fish, sharks",24,pacific ocean,data deficient,enteroctopodidae,50-70,24,solitary,"up to 200,000"
giant panda,70-90,70-125,"black, white",20-30,herbivore,temperate broadleaf forests,snow leopards,32,china,endangered,ursidae,95-160,32,solitary,1
gila monster,up to 60,up to 2.3,"black, orange",up to 20,carnivore,"deserts, scrubland","birds of prey, coyotes",1-2,"southwestern united states, mexico",least concern,helodermatidae,120-150,not applicable,solitary,not applicable
glass frog,2.2-7.7,up to 0.03,"green, transparent",10-14 days,insectivore,rainforests,"birds, snakes",0.8,central and south america,least concern,centrolenidae,10-20,not applicable,solitary,up to 30
goblin shark,up to 320,up to 210,pinkish-gray,30-35,carnivore,deep-sea,"larger fish, other sharks",1.6-3,worldwide,data deficient,mitsukurinidae,not applicable,not applicable,solitary,not applicable
goblin shark,up to 366,up to 210,pinkish-gray,30-35,carnivore,deep-sea,not applicable,not applicable,worldwide,data deficient,mitsukurinidae,not applicable,not applicable,solitary,not applicable
golden lion tamarin,up to 35,up to 0.7,"golden, reddish-brown",10-15,omnivore,tropical rainforests,"birds, snakes",8-13,"brazil, southeastern bahia",endangered,callitrichidae,125-130,8-13,social groups,1-3
golden poison dart frog,3-6,up to 2.4,various,10-17,insectivore,rainforests,snakes,0.3,western colombia,near threatened,dendrobatidae,14,0.3,solitary,up to 40
great white shark,up to 610,up to 2268,grey,30-40,carnivore,oceans,orcas,56,oceans worldwide,vulnerable,lamnidae,12-18 months,56,solitary,2-14 (approx.)
great white shark,up to 670,up to 2268,"gray, white",70,carnivore,oceans,orcas,56,worldwide,vulnerable,lamnidae,12-18,56,solitary,2-17
green anaconda,up to 550,up to 97.5,olive-green,10-15,carnivore,"swamps, marshes","jaguars, caymans",16-24 (in water),south america,least concern,boidae,150-160,24,solitary,up to 80
green sea turtle,up to 120,up to 200,greenish-brown,80-100,herbivore,"oceans, coastal areas",predatory fish,1.6-3.2,oceans worldwide,endangered,cheloniidae,45-70,35,solitary,varies
green sea turtle,70-120,68-190,green,80,herbivore,oceans,"sharks, orcas",35,worldwide,endangered,cheloniidae,45-75,35,solitary,not applicable
grevy's zebra,130-160,350-450,"white, black",20-30,herbivore,grasslands,"lions, hyenas",64,eastern africa,endangered,equidae,390-396,64,herd-based,1
hagfish,up to 127,up to 0.7,"pink, gray",up to 300,scavenger,"ocean floor, deep-sea",various predators,0.8,oceans worldwide,least concern,myxinidae,not applicable,not applicable,solitary,not applicable
hagfish,up to 127,up to 0.6,pinkish-gray,up to 30,carnivore,deep-sea,not applicable,not applicable,worldwide,data deficient,myxinidae,not applicable,not applicable,solitary,not applicable
harp seal,up to 180,up to 160,"silver, gray",20-35,carnivore,"arctic, atlantic ocean","polar bears, orcas",19-22,"arctic, atlantic ocean",least concern,phocidae,335,28,group-based,1
harpy eagle,86-107,4.5-9,"black, white",25-35,carnivore,rainforests,"jaguars, snakes",50,central and south america,near threatened,accipitridae,56-58,50,solitary,1
hippopotamus,120-160,1300-3200,grey,40-50,herbivore,"rivers, lakes","lions, crocodiles",25,sub-saharan africa,vulnerable,hippopotamidae,230-250,30,group-based,1
horseshoe crab,up to 56,up to 2.3,brownish-gray,up to 20 years,"carnivore, scavenger","ocean floor, coastal areas","birds, predatory fish",0.8-1.6,"atlantic ocean, gulf of mexico",vulnerable,limulidae,2 weeks,not applicable,solitary,thousands
hummingbird,7.5-13,2-20,various,3-5,"nectar, insects",americas,"birds of prey, snakes",40-80,americas,least concern,trochilidae,13-22,80,solitary,1-3
humpback whale,up to 1700,up to 30000,"black, white",45-50,omnivore,oceans,orcas,24-27,worldwide,least concern,balaenopteridae,365,24-27,solitary,1
iberian lynx,60-70,9-14,yellowish-brown,10-13,carnivore,mediterranean scrublands,"humans, wildcats",70-80,"spain, portugal",endangered,felidae,63-67,70-80,solitary,1-4
indri,up to 70,up to 6,"black, white",15-18,herbivore,rainforests,"fossa, birds of prey",24-27,madagascar,critically endangered,indridae,120-140,24-27,solitary,1
japanese giant hornet,35-55,up to 6,"yellow, black",3-6,"carnivore, insectivore","forests, mountains","birds, bees",40-58,"japan, china, southeast asia",not evaluated,vespidae,1 week,not applicable,colony-based,thousands
japanese macaque,50-60,10-14,brown,20-30,omnivore,"forests, mountains","humans, leopards",30,"japan, china, north korea",least concern,cercopithecidae,173-194,30,social groups,1
kakapo,up to 60,up to 4,green,60+,herbivore,"forests, islands","rats, cats",2.5,new zealand,critically endangered,strigopidae,21-24,2.4,solitary,1-4 (usually 1)
